# EDUK2 solver execution report
# generated_at: 2026-08-24T21:12:30-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss_wmin10000wmax50000n1000-1-s843367405c527079.ukp	faithful	ok	1	0.001831	527079.000000	527079.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005857 last_stop_reason=
ss_wmin10000wmax50000n1000-1-s843367405c527079.ukp	ukp5	ok	1	0.001245	527079.000000	527079.000000	1					elapsed_seconds=0.008005
ss_wmin10000wmax50000n1000-2-s528806317c938252.ukp	faithful	ok	1	0.001853	938252.000000	938252.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005989 last_stop_reason=
ss_wmin10000wmax50000n1000-2-s528806317c938252.ukp	ukp5	ok	1	0.001652	938252.000000	938252.000000	1					elapsed_seconds=0.009368
ss_wmin10000wmax50000n1000-3-s780179313c900235.ukp	faithful	ok	1	0.002006	900235.000000	900235.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.009092 last_stop_reason=
ss_wmin10000wmax50000n1000-3-s780179313c900235.ukp	ukp5	ok	1	0.001627	900235.000000	900235.000000	1					elapsed_seconds=0.009513
ss_wmin10000wmax50000n1000-4-s721215008c658332.ukp	faithful	ok	1	0.001547	658332.000000	658332.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005352 last_stop_reason=
ss_wmin10000wmax50000n1000-4-s721215008c658332.ukp	ukp5	ok	1	0.001250	658332.000000	658332.000000	1					elapsed_seconds=0.008769
ss_wmin10000wmax50000n1000-5-s110877071c769563.ukp	faithful	ok	1	0.001379	769563.000000	769563.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005252 last_stop_reason=
ss_wmin10000wmax50000n1000-5-s110877071c769563.ukp	ukp5	ok	1	0.001617	769563.000000	769563.000000	1					elapsed_seconds=0.010121
ss_wmin10000wmax50000n1000-6-s227708629c662505.ukp	faithful	ok	1	0.002757	662505.000000	662505.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006673 last_stop_reason=
ss_wmin10000wmax50000n1000-6-s227708629c662505.ukp	ukp5	ok	1	0.001669	662505.000000	662505.000000	1					elapsed_seconds=0.009615
ss_wmin10000wmax50000n1000-7-s177710744c744409.ukp	faithful	ok	1	0.001716	744409.000000	744409.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005891 last_stop_reason=
ss_wmin10000wmax50000n1000-7-s177710744c744409.ukp	ukp5	ok	1	0.001659	744409.000000	744409.000000	1					elapsed_seconds=0.009059
ss_wmin10000wmax50000n1000-8-s991580855c698588.ukp	faithful	ok	1	0.001833	698588.000000	698588.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005761 last_stop_reason=
ss_wmin10000wmax50000n1000-8-s991580855c698588.ukp	ukp5	ok	1	0.001635	698588.000000	698588.000000	1					elapsed_seconds=0.008819
ss_wmin10000wmax50000n1000-9-s126456688c837661.ukp	faithful	ok	1	0.004311	837661.000000	837661.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008327 last_stop_reason=
ss_wmin10000wmax50000n1000-9-s126456688c837661.ukp	ukp5	ok	1	0.001623	837661.000000	837661.000000	1					elapsed_seconds=0.010564
ss_wmin10000wmax50000n2000-0-s827183242c735111.ukp	faithful	ok	1	0.000652	735111.000000	735111.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.004976 last_stop_reason=
ss_wmin10000wmax50000n2000-0-s827183242c735111.ukp	ukp5	ok	1	0.001132	735111.000000	735111.000000	1					elapsed_seconds=0.009359
ss_wmin10000wmax50000n2000-1-s843367405c717370.ukp	faithful	ok	1	0.000430	717370.000000	717370.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.004709 last_stop_reason=
ss_wmin10000wmax50000n2000-1-s843367405c717370.ukp	ukp5	ok	1	0.001738	717370.000000	717370.000000	1					elapsed_seconds=0.011027
ss_wmin10000wmax50000n2000-2-s528806317c726630.ukp	faithful	ok	1	0.002760	726630.000000	726630.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007161 last_stop_reason=
ss_wmin10000wmax50000n2000-2-s528806317c726630.ukp	ukp5	ok	1	0.001167	726630.000000	726630.000000	1					elapsed_seconds=0.008552
ss_wmin10000wmax50000n2000-3-s780179313c589775.ukp	faithful	ok	1	0.002841	589775.000000	589775.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007147 last_stop_reason=
ss_wmin10000wmax50000n2000-3-s780179313c589775.ukp	ukp5	ok	1	0.001203	589775.000000	589775.000000	1					elapsed_seconds=0.008960
ss_wmin10000wmax50000n2000-4-s721215008c803150.ukp	faithful	ok	1	0.002307	803150.000000	803150.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006506 last_stop_reason=
ss_wmin10000wmax50000n2000-4-s721215008c803150.ukp	ukp5	ok	1	0.001694	803150.000000	803150.000000	1					elapsed_seconds=0.010396
ss_wmin10000wmax50000n2000-5-s110877071c884660.ukp	faithful	ok	1	0.002609	884660.000000	884660.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006625 last_stop_reason=
ss_wmin10000wmax50000n2000-5-s110877071c884660.ukp	ukp5	ok	1	0.001707	884660.000000	884660.000000	1					elapsed_seconds=0.011586
ss_wmin10000wmax50000n2000-6-s227708629c720884.ukp	faithful	ok	1	0.006204	720884.000000	720884.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.010297 last_stop_reason=
ss_wmin10000wmax50000n2000-6-s227708629c720884.ukp	ukp5	ok	1	0.001725	720884.000000	720884.000000	1					elapsed_seconds=0.010536
ss_wmin10000wmax50000n2000-7-s177710744c553979.ukp	faithful	ok	1	0.002641	553979.000000	553979.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006798 last_stop_reason=
ss_wmin10000wmax50000n2000-7-s177710744c553979.ukp	ukp5	ok	1	0.001123	553979.000000	553979.000000	1					elapsed_seconds=0.007864
ss_wmin10000wmax50000n2000-8-s991580855c603735.ukp	faithful	ok	1	0.002207	603735.000000	603735.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006262 last_stop_reason=
ss_wmin10000wmax50000n2000-8-s991580855c603735.ukp	ukp5	ok	1	0.001711	603735.000000	603735.000000	1					elapsed_seconds=0.010336
ss_wmin10000wmax50000n2000-9-s126456688c849580.ukp	faithful	ok	1	0.002857	849580.000000	849580.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007040 last_stop_reason=
ss_wmin10000wmax50000n2000-9-s126456688c849580.ukp	ukp5	ok	1	0.001173	849580.000000	849580.000000	1					elapsed_seconds=0.008948
ss_wmin10000wmax50000n5000-0-s827183242c748716.ukp	faithful	ok	1	0.007390	748716.000000	748716.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.012182 last_stop_reason=
ss_wmin10000wmax50000n5000-0-s827183242c748716.ukp	ukp5	ok	1	0.001770	748716.000000	748716.000000	1					elapsed_seconds=0.011625
ss_wmin10000wmax50000n5000-1-s843367405c820728.ukp	faithful	ok	1	0.005882	820728.000000	820728.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.010257 last_stop_reason=
ss_wmin10000wmax50000n5000-1-s843367405c820728.ukp	ukp5	ok	1	0.001886	820728.000000	820728.000000	1					elapsed_seconds=0.012291
ss_wmin10000wmax50000n5000-2-s528806317c558365.ukp	faithful	ok	1	0.007627	558365.000000	558365.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.012176 last_stop_reason=
ss_wmin10000wmax50000n5000-2-s528806317c558365.ukp	ukp5	ok	1	0.001896	558365.000000	558365.000000	1					elapsed_seconds=0.012749
ss_wmin10000wmax50000n5000-3-s780179313c826338.ukp	faithful	ok	1	0.004228	826338.000000	826338.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008706 last_stop_reason=
